OSHPD_ID,FAC_NAME,HEALTH_SVC_AREA,LIC_STATUS,C_YOP,TYPE_LIC,TYPE_SVC_PRINCIPAL,NICU_BED_LIC,HOSP_BED_LIC_TOTL,NEWBORN_NURSRY_BASSINETS,NEWBORN_NURSRY_INFANTS,PSY_CENS_PATIENT_<=17,INPATIENT_PALLIATIVE_CARE_PROG_OFFERED,ANESTHESIOLOGIST,OP_AVAILABILITY,PHYSICIAN_A,PSY_A,EMS_ADM_VIS_TOTL,SURG_IP,AMB_SURG_PROG,BIRTHS_LIVE_TOTL
106010735,ALAMEDA HOSPITAL, East Bay,1,4,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS, East Bay,1,4,1,1,3,1,80,5693,0,1,1,1,1,1,2,1,1,4
106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND, East Bay,1,4,1,5,3,1,0,0,0,0,1,1,1,1,2,1,1,1
106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL, East Bay,1,3,4,4,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106010811,FAIRMONT HOSPITAL, East Bay,1,4,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS, East Bay,1,4,1,3,1,1,0,0,4,0,0,0,0,0,1,1,0,1
106010846,HIGHLAND HOSPITAL, East Bay,1,4,1,1,1,1,20,1135,0,1,1,1,1,1,2,1,1,1
106010856,KAISER FND HOSP - OAKLAND CAMPUS, East Bay,0,4,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106010858,KAISER FND HOSP - HAYWARD/FREMONT, East Bay,0,3,1,1,1,1,20,1005,0,1,1,1,1,1,1,1,0,1
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA, East Bay,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE, East Bay,1,4,1,1,1,2,0,0,0,1,1,1,1,1,2,1,1,1
106010967,ST. ROSE HOSPITAL, East Bay,1,3,1,1,1,1,24,798,0,0,1,1,1,0,1,1,1,1
106010983,VALLEY MEMORIAL HOSPITAL, East Bay,1,3,1,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106010987,WASHINGTON HOSPITAL - FREMONT, East Bay,1,3,1,1,1,1,22,1724,0,0,1,1,1,1,2,1,0,1
106013619,SAN LEANDRO HOSPITAL, East Bay,1,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
106013626,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT, East Bay,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL, East Bay,1,2,4,4,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106014034,FREMONT HOSPITAL, East Bay,1,2,2,3,1,1,0,0,8,0,0,0,0,0,1,1,0,1
106014050,VALLEYCARE MEDICAL CENTER, East Bay,1,2,1,1,1,1,0,1294,0,0,1,1,1,0,2,1,1,1
106014132,KAISER FND HOSP - FREMONT, East Bay,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1
106014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY, East Bay,1,1,3,3,1,1,0,0,0,0,0,0,1,0,1,1,0,1
106014226,TELECARE WILLOW ROCK CENTER, East Bay,1,1,3,3,1,1,0,0,8,0,0,0,0,0,1,1,0,1
106014233,EDEN MEDICAL CENTER, East Bay,1,6,1,1,1,1,11,1393,0,1,1,1,1,1,1,1,0,1
106014326,KAISER FND HOSP - OAKLAND/RICHMOND, East Bay,1,6,1,1,2,1,6,2189,0,1,1,1,1,1,2,2,1,2
106014337,KAISER FND HOSP - SAN LEANDRO, East Bay,1,6,1,1,1,1,8,1807,0,1,1,1,1,1,1,1,0,1
106034002,SUTTER AMADOR HOSPITAL, North San Joaquin,1,1,1,1,1,1,8,319,0,0,1,1,1,0,1,1,0,1
106040802,BIGGS GRIDLEY MEMORIAL HOSPITAL, Northern California,1,4,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1
106040828,ENLOE MEDICAL CENTER - COHASSET, Northern California,1,3,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106040875,FEATHER RIVER HOSPITAL, Northern California,1,4,1,1,1,1,18,911,0,0,1,1,1,1,1,1,1,1
106040937,OROVILLE HOSPITAL, Northern California,1,3,1,1,1,1,10,442,0,1,1,1,1,1,2,1,1,1
106040962,ENLOE MEDICAL CENTER- ESPLANADE, Northern California,1,4,1,1,1,1,22,1592,0,1,1,1,1,0,3,2,1,1
106044006,BUTTE COUNTY MENTAL HEALTH SERVICES, Northern California,1,2,3,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106044011,ENLOE REHABILITATION CENTER, Northern California,1,2,1,6,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106050932,MARK TWAIN MEDICAL CENTER, North San Joaquin,1,4,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
106060870,COLUSA REGIONAL MEDICAL CENTER, Northern California,1,4,1,1,1,1,6,158,0,0,1,1,1,0,1,1,1,1
106070904,DOCTORS MEDICAL CENTER - SAN PABLO, East Bay,0,4,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER, East Bay,1,4,1,1,1,1,6,2245,0,1,1,1,1,1,1,1,0,2
106070934,SUTTER DELTA MEDICAL CENTER, East Bay,1,3,1,1,1,1,20,1000,0,1,1,1,1,1,2,1,1,1
106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS, East Bay,1,3,1,1,3,2,0,2407,0,1,1,1,1,1,2,2,0,2
106070990,KAISER FND HOSP - WALNUT CREEK, East Bay,1,4,1,1,2,1,32,3224,0,1,1,1,1,1,2,1,1,2
106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS, East Bay,1,4,1,1,1,1,0,0,0,1,1,1,1,1,2,1,0,1
106074011,SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING, East Bay,1,2,1,8,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106074017,SAN RAMON REGIONAL MEDICAL CENTER, East Bay,1,2,1,1,1,1,17,778,0,0,1,1,1,0,1,1,1,1
106074039,JOHN MUIR BEHAVIORAL HEALTH CENTER, East Bay,1,2,2,3,1,1,0,0,5,0,0,0,0,0,1,1,0,1
106074093,KAISER FND HOSP - RICHMOND CAMPUS, East Bay,1,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
106074097,KAISER FOUND HSP-ANTIOCH, East Bay,1,1,1,1,1,1,10,1511,0,1,1,1,1,1,1,1,0,1
106084001,SUTTER COAST HOSPITAL, Northern California,1,4,1,1,1,1,4,302,0,0,1,1,1,1,1,1,1,1
106090793,BARTON MEMORIAL HOSPITAL, Golden Empire,1,3,1,1,1,1,9,314,0,0,1,1,1,1,1,1,1,1
106090933,MARSHALL  MEDICAL CENTER (1-RH), Golden Empire,1,3,1,1,1,1,12,531,0,1,1,1,1,0,1,1,1,1
106094002,EL DORADO COUNTY P H F, Golden Empire,1,2,3,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106100005,CLOVIS COMMUNITY MEDICAL CENTER, Central,1,2,1,1,1,1,8,4601,0,1,1,1,1,0,1,1,1,3
106100697,COALINGA REGIONAL MEDICAL CENTER, Central,1,4,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
106100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO, Central,1,4,1,1,5,2,70,5133,0,0,1,1,1,1,3,3,1,4
106100793,ADVENTIST MEDICAL CENTER-SELMA, Central,1,3,1,1,1,1,15,273,0,0,1,1,1,0,1,1,0,1
106100797,ADVENTIST MEDICAL CENTER - REEDLEY, Central,1,3,1,1,1,1,25,1422,0,0,1,1,1,0,1,1,1,1
106100899,ST. AGNES MEDICAL CENTER, Central,1,3,1,1,1,2,30,3180,0,1,1,1,1,1,3,2,0,2
106104008,COMMUNITY BEHAVIORAL HEALTH CENTER, Central,1,2,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL, Central,1,2,1,6,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106104047,FRESNO SURGICAL HOSPITAL, Central,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
106104062,KAISER FND HOSP - FRESNO, Central,1,2,1,1,1,1,0,1051,0,1,1,1,1,1,1,1,1,1
106104089,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-FRESNO, Central,1,1,3,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106105029,FRESNO HEART AND SURGICAL HOSPITAL, Central,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
106105051,DEPARTMENT OF STATE HOSPITAL - COALINGA, Central,1,1,2,3,1,3,0,0,0,0,0,0,0,0,1,1,0,1
106110889,GLENN MEDICAL CENTER, Northern California,1,4,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1
106120981,"GENERAL HOSPITAL, THE", Northern California,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
106121002,MAD RIVER COMMUNITY HOSPITAL, Northern California,1,3,1,1,1,1,0,596,0,0,1,1,1,0,1,1,1,1
106121031,JEROLD PHELPS COMMUNITY HOSPITAL, Northern California,1,3,1,8,1,1,0,0,0,0,0,0,1,0,1,1,0,1
106121051,REDWOOD MEMORIAL HOSPITAL, Northern California,1,3,1,1,1,1,8,359,0,1,1,1,1,0,1,1,1,1
106121080,ST. JOSEPH HOSPITAL - EUREKA, Northern California,1,4,1,1,1,1,14,462,0,1,1,1,1,0,1,1,1,1
106124004,SEMPERVIRENS P.H.F., Northern California,1,2,3,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106130699,EL CENTRO REGIONAL MEDICAL CENTER, San Diego/Imperial,1,3,1,1,1,1,19,1102,0,0,1,1,1,1,1,1,1,1
106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT, San Diego/Imperial,1,4,1,1,1,1,25,1737,0,0,1,1,1,1,1,1,1,1
106141273,NORTHERN INYO HOSPITAL, Inland Counties,1,4,1,1,1,1,6,225,0,0,1,1,1,1,1,1,0,1
106141338,SOUTHERN INYO HOSPITAL, Inland Counties,1,4,1,2,1,1,0,0,0,0,0,0,1,0,1,1,0,1
106150706,DELANO REGIONAL MEDICAL CENTER, Central,1,3,1,1,1,1,20,825,0,0,1,1,1,0,1,1,1,1
106150722,BAKERSFIELD MEMORIAL HOSPITAL, Central,1,3,1,1,2,2,10,3180,0,0,1,1,1,0,2,2,0,2
106150736,KERN MEDICAL CENTER, Central,1,4,1,1,2,1,0,2201,0,0,1,1,1,1,1,1,0,2
106150737,KERN VALLEY HEALTHCARE DISTRICT, Central,1,3,1,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1
106150761,MERCY HOSPITAL - BAKERSFIELD, Central,1,4,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
106150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD, Central,1,3,1,3,1,1,0,0,6,0,1,1,1,0,1,1,0,1
106150782,RIDGECREST REGIONAL HOSPITAL, Central,1,4,1,1,1,1,0,455,0,0,1,1,1,0,1,1,0,1
106150788,SAN JOAQUIN COMMUNITY HOSPITAL, Central,1,3,1,1,1,1,23,3076,0,1,1,1,1,1,3,2,1,2
106150808,TEHACHAPI HOSPITAL, Central,1,4,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1
106154022,HEALTHSOUTH BAKERSFIELD REHABILITATION HOSPITAL, Central,1,2,1,6,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106154101,BAKERSFIELD HEART HOSPITAL, Central,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1
106154108,MERCY SOUTHWEST HOSPITAL, Central,1,2,1,1,1,1,18,0,0,1,1,1,1,0,1,1,1,2
106154160,CRESTWOOD PSYCHIATRIC HEALTH FACILITY 2, Central,1,1,3,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106160787,CENTRAL VALLEY GENERAL HOSPITAL, Central,1,4,1,1,1,1,6,2128,0,0,0,0,0,0,1,1,0,2
106164029,ADVENTIST MEDICAL CENTER, Central,1,1,1,1,1,1,0,0,0,0,1,1,1,1,2,1,1,1
106171049,ST. HELENA HOSPITAL - CLEARLAKE, Northern California,1,3,1,1,1,1,4,166,0,0,1,1,1,0,1,1,1,1
106171395,SUTTER LAKESIDE HOSPITAL, Northern California,1,2,1,1,1,1,6,306,0,0,1,1,1,0,1,1,1,1
106184008,BANNER LASSEN MEDICAL CENTER, Northern California,1,1,1,1,1,1,6,279,0,0,1,1,1,0,1,1,0,1
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER, Los Angeles,1,4,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
106190020,BHC ALHAMBRA HOSPITAL, Los Angeles,1,4,2,3,1,1,0,0,23,0,0,0,0,0,1,1,0,1
106190034,ANTELOPE VALLEY HOSPITAL, Los Angeles,1,4,1,1,3,2,0,4783,0,1,1,1,1,1,3,2,1,3
106190045,CATALINA ISLAND MEDICAL CENTER, Los Angeles,1,4,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1
106190049,KINDRED HOSPITAL BALDWIN PARK, Los Angeles,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106190052,BARLOW RESPIRATORY HOSPITAL, Los Angeles,1,4,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1
106190053,ST. MARY MEDICAL CENTER - LONG BEACH, Los Angeles,1,4,1,1,2,1,25,2480,0,1,1,1,1,0,2,1,1,2
106190081,BEVERLY HOSPITAL, Los Angeles,1,4,1,1,1,1,17,799,0,0,1,1,1,1,1,1,0,1
106190110,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY, Los Angeles,1,4,1,1,1,2,0,0,0,0,1,1,1,1,2,1,0,1
106190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES, Los Angeles,1,4,1,1,2,1,61,3437,0,0,1,1,1,1,2,1,1,3
106190137,CASA COLINA HOSPITAL FOR REHAB MEDICINE, Los Angeles,1,3,1,6,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106190148,CENTINELA HOSPITAL MEDICAL CENTER, Los Angeles,1,4,1,1,1,1,29,794,0,0,1,1,1,1,3,1,0,1
106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER, Los Angeles,1,3,2,3,1,1,0,0,9,0,0,0,0,0,1,1,0,1
106190155,CENTURY CITY DOCTORS HOSPITAL, Los Angeles,0,3,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106190159,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER, Los Angeles,1,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
106190163,AURORA CHARTER OAK, Los Angeles,1,4,2,3,1,1,0,0,10,0,0,0,1,0,1,1,0,1
106190170,CHILDRENS HOSPITAL OF LOS ANGELES, Los Angeles,1,4,1,5,5,2,0,0,0,1,1,1,1,1,2,2,1,1
106190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL, Los Angeles,1,4,1,8,1,1,0,0,0,1,0,0,0,0,1,1,1,1
106190184,COLLEGE HOSPITAL, Los Angeles,1,3,2,3,1,1,0,0,20,0,0,0,0,0,1,1,0,1
106190196,KINDRED HOSPITAL SOUTH BAY, Los Angeles,1,3,1,8,1,1,0,0,0,0,1,1,1,0,1,1,0,1
106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK, Los Angeles,1,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
106190198,LOS ANGELES COMMUNITY HOSPITAL, Los Angeles,1,3,1,1,1,1,16,96,0,0,1,1,1,1,1,1,0,1
106190200,SAN GABRIEL VALLEY MEDICAL CENTER, Los Angeles,1,3,1,1,1,1,22,2957,0,0,1,1,1,1,1,1,1,2
106190232,DEL AMO HOSPITAL, Los Angeles,1,3,2,3,1,1,0,0,11,0,0,0,0,0,1,1,0,1
106190240,LAKEWOOD REGIONAL MEDICAL CENTER, Los Angeles,1,3,1,1,1,1,0,0,0,0,1,1,1,0,2,1,0,1
106190243,PIH HOSPITAL - DOWNEY, Los Angeles,1,3,1,1,1,1,17,948,0,0,1,1,1,1,2,1,1,1
106190256,EAST LOS ANGELES DOCTORS HOSPITAL, Los Angeles,1,4,1,1,1,1,13,490,0,0,1,1,1,1,1,1,1,1
106190280,ENCINO HOSPITAL MEDICAL CENTER, Los Angeles,1,4,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
106190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL, Los Angeles,1,3,1,1,1,1,8,777,0,1,1,1,1,0,1,1,1,1
106190305,KINDRED HOSPITAL - LOS ANGELES, Los Angeles,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106190307,PACIFIC ALLIANCE MEDICAL CENTER, Los Angeles,1,4,1,1,1,1,12,2448,0,0,0,0,0,0,1,1,1,2
106190315,GARFIELD MEDICAL CENTER, Los Angeles,1,4,1,1,1,1,26,4485,0,0,1,1,1,1,2,1,1,3
106190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER, Los Angeles,1,3,2,3,1,1,0,0,7,0,0,0,0,0,1,1,0,1
106190323,GLENDALE ADVENTIST MEDICAL CENTER, Los Angeles,1,4,1,1,1,2,22,2245,0,0,1,1,1,0,3,1,0,2
106190328,GLENDORA COMMUNITY HOSPITAL, Los Angeles,1,3,1,1,1,1,0,185,0,0,1,1,1,1,1,1,0,1
106190352,GREATER EL MONTE COMMUNITY HOSPITAL, Los Angeles,1,3,1,1,1,1,13,455,0,0,1,1,1,1,1,1,0,1
106190380,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD, Los Angeles,1,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1
106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER, Los Angeles,1,4,1,1,1,2,35,3053,0,0,1,1,1,0,2,1,1,2
106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER, Los Angeles,1,3,1,1,1,1,24,3057,0,1,1,1,1,1,2,2,1,2
106190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES, Los Angeles,1,4,1,1,2,2,10,3276,0,0,1,1,1,0,1,1,1,2
106190400,HUNTINGTON MEMORIAL HOSPITAL, Los Angeles,1,4,1,1,3,2,48,3283,0,1,1,1,1,1,3,3,0,2
106190410,SILVER LAKE MEDICAL CENTER-INGLESIDE CAMPUS, Los Angeles,1,4,1,3,1,1,0,0,0,0,0,0,1,0,1,1,0,1
106190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS, Los Angeles,1,4,1,1,1,1,0,0,0,1,1,1,1,0,2,1,1,1
106190422,TORRANCE MEMORIAL MEDICAL CENTER, Los Angeles,1,3,1,1,2,2,28,2819,0,1,1,1,1,1,3,2,1,2
106190429,KAISER FND HOSP - LOS ANGELES, Los Angeles,1,4,1,1,2,2,0,2237,0,1,1,1,1,1,2,3,1,2
106190431,KAISER FND HOSP - SOUTH BAY, Los Angeles,1,3,1,1,1,1,0,2071,0,1,1,1,1,1,2,2,1,2
106190432,KAISER FND HOSP - PANORAMA CITY, Los Angeles,1,3,1,1,2,1,29,1983,0,1,1,1,1,1,1,1,1,2
106190434,KAISER FND HOSP - WEST LA, Los Angeles,1,3,1,1,1,1,28,1582,0,1,1,1,1,1,2,1,0,1
106190449,KINDRED HOSPITAL - LA MIRADA, Los Angeles,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106190458,KINDRED HOSPITAL - SAN GABRIEL VALLEY, Los Angeles,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106190462,AURORA LAS ENCINAS HOSPITAL, Los Angeles,1,4,2,3,1,1,0,0,0,0,0,0,1,0,1,1,0,1
106190468,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS, Los Angeles,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE, Los Angeles,1,3,1,1,2,2,22,2470,0,1,1,1,1,1,3,1,1,2
106190475,COMMUNITY HOSPITAL LONG BEACH, Los Angeles,1,4,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
106190500,MARINA DEL REY HOSPITAL, Los Angeles,1,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1
106190517,PROVIDENCE TARZANA MEDICAL CENTER, Los Angeles,1,3,1,1,2,1,31,2446,0,1,1,1,1,1,2,1,1,2
106190521,MEMORIAL HOSPITAL OF GARDENA, Los Angeles,1,4,1,1,1,1,18,974,0,0,1,1,1,1,1,1,1,1
106190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER, Los Angeles,1,4,1,1,1,1,14,1727,0,1,1,1,1,1,2,1,1,1
106190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS, Los Angeles,1,3,1,1,1,1,0,0,0,0,1,1,1,1,2,1,0,1
106190525,LONG BEACH MEMORIAL MEDICAL CENTER, Los Angeles,1,3,1,1,1,2,0,0,0,1,1,1,1,1,3,2,1,1
106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA, Los Angeles,1,3,1,1,1,1,0,1922,0,1,1,1,1,1,2,1,0,1
106190534,OLYMPIA MEDICAL CENTER, Los Angeles,1,4,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1
106190541,MONROVIA MEMORIAL HOSPITAL, Los Angeles,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106190547,MONTEREY PARK HOSPITAL, Los Angeles,1,3,1,1,1,1,30,1751,0,0,1,1,1,1,1,1,1,1
106190552,MOTION PICTURE AND TELEVISION HOSPITAL, Los Angeles,1,4,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1
106190555,CEDARS SINAI MEDICAL CENTER, Los Angeles,1,4,1,1,3,3,80,6012,0,1,1,1,1,1,3,3,0,4
106190568,NORTHRIDGE HOSPITAL MEDICAL CENTER, Los Angeles,1,4,1,1,2,2,22,1071,4,1,1,1,1,1,2,1,0,1
106190570,NORWALK COMMUNITY HOSPITAL, Los Angeles,1,4,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
106190587,COLLEGE MEDICAL CENTER, Los Angeles,1,4,1,1,1,1,9,358,0,0,1,1,1,1,1,1,0,1
106190599,PROMISE HOSPITAL OF EAST LOS ANGELES-SUBURBAN CAMPUS, Los Angeles,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
106190630,POMONA VALLEY HOSPITAL MEDICAL CENTER, Los Angeles,1,4,1,1,3,2,41,6389,0,1,1,1,1,0,2,1,0,4
106190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL, Los Angeles,1,3,1,1,2,2,0,3625,0,0,1,1,1,1,3,2,0,3
106190636,CITRUS VALLEY MEDICAL CENTER - QV CAMPUS, Los Angeles,1,3,1,1,2,1,50,3634,0,1,1,1,1,0,2,1,1,3
106190646,KAISER FND HOSP - MENTAL HEALTH CENTER, Los Angeles,1,4,1,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1
106190661,SILVER LAKE MEDICAL CENTER-DOWNTOWN CAMPUS, Los Angeles,1,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
106190673,SAN DIMAS COMMUNITY HOSPITAL, Los Angeles,1,3,1,1,1,1,0,585,0,0,1,1,1,1,1,1,0,1
106190680,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO, Los Angeles,1,4,1,1,1,1,18,613,0,1,1,1,1,1,1,1,0,1
106190681,MIRACLE MILE MEDICAL CENTER, Los Angeles,1,4,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1
106190687,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL, Los Angeles,1,4,1,1,1,1,35,1452,0,1,1,1,1,1,2,2,1,1
